Measure	Value	Library
Total Sequences	30075455	FJVN103_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN103_R2_rmphix_fastqc
Sequence length	50-151	FJVN103_R2_rmphix_fastqc
%GC	63	FJVN103_R2_rmphix_fastqc
Filename	FJVN104_R1_rmphix.fq.gz	FJVN104_R1_rmphix_fastqc
File type	Conventional base calls	FJVN104_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN104_R1_rmphix_fastqc
Total Sequences	26901011	FJVN104_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN104_R1_rmphix_fastqc
Sequence length	50-151	FJVN104_R1_rmphix_fastqc
%GC	63	FJVN104_R1_rmphix_fastqc
Filename	FJVN104_R2_rmphix.fq.gz	FJVN104_R2_rmphix_fastqc
File type	Conventional base calls	FJVN104_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN104_R2_rmphix_fastqc
Total Sequences	26901011	FJVN104_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN104_R2_rmphix_fastqc
Sequence length	50-151	FJVN104_R2_rmphix_fastqc
%GC	63	FJVN104_R2_rmphix_fastqc
Filename	FJVN115_R1_rmphix.fq.gz	FJVN115_R1_rmphix_fastqc
File type	Conventional base calls	FJVN115_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN115_R1_rmphix_fastqc
Total Sequences	25634969	FJVN115_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN115_R1_rmphix_fastqc
Sequence length	50-151	FJVN115_R1_rmphix_fastqc
%GC	63	FJVN115_R1_rmphix_fastqc
Filename	FJVN115_R2_rmphix.fq.gz	FJVN115_R2_rmphix_fastqc
File type	Conventional base calls	FJVN115_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN115_R2_rmphix_fastqc
Total Sequences	25634969	FJVN115_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN115_R2_rmphix_fastqc
Sequence length	50-151	FJVN115_R2_rmphix_fastqc
%GC	63	FJVN115_R2_rmphix_fastqc
Filename	FJVN116_R1_rmphix.fq.gz	FJVN116_R1_rmphix_fastqc
File type	Conventional base calls	FJVN116_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN116_R1_rmphix_fastqc
Total Sequences	26952182	FJVN116_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN116_R1_rmphix_fastqc
Sequence length	50-151	FJVN116_R1_rmphix_fastqc
%GC	64	FJVN116_R1_rmphix_fastqc
Filename	FJVN116_R2_rmphix.fq.gz	FJVN116_R2_rmphix_fastqc
File type	Conventional base calls	FJVN116_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN116_R2_rmphix_fastqc
Total Sequences	26952182	FJVN116_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN116_R2_rmphix_fastqc
Sequence length	50-151	FJVN116_R2_rmphix_fastqc
%GC	64	FJVN116_R2_rmphix_fastqc
Filename	FJVN117_R1_rmphix.fq.gz	FJVN117_R1_rmphix_fastqc
File type	Conventional base calls	FJVN117_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN117_R1_rmphix_fastqc
Total Sequences	27362265	FJVN117_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN117_R1_rmphix_fastqc
Sequence length	50-151	FJVN117_R1_rmphix_fastqc
%GC	64	FJVN117_R1_rmphix_fastqc
Filename	FJVN117_R2_rmphix.fq.gz	FJVN117_R2_rmphix_fastqc
File type	Conventional base calls	FJVN117_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN117_R2_rmphix_fastqc
Total Sequences	27362265	FJVN117_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN117_R2_rmphix_fastqc
Sequence length	50-151	FJVN117_R2_rmphix_fastqc
%GC	64	FJVN117_R2_rmphix_fastqc
Filename	FJVN118_R1_rmphix.fq.gz	FJVN118_R1_rmphix_fastqc
File type	Conventional base calls	FJVN118_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN118_R1_rmphix_fastqc
Total Sequences	25474910	FJVN118_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN118_R1_rmphix_fastqc
Sequence length	50-151	FJVN118_R1_rmphix_fastqc
%GC	64	FJVN118_R1_rmphix_fastqc
Filename	FJVN118_R2_rmphix.fq.gz	FJVN118_R2_rmphix_fastqc
File type	Conventional base calls	FJVN118_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN118_R2_rmphix_fastqc
Total Sequences	25474910	FJVN118_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN118_R2_rmphix_fastqc
Sequence length	50-151	FJVN118_R2_rmphix_fastqc
%GC	64	FJVN118_R2_rmphix_fastqc
Filename	FJVN67_R1_rmphix.fq.gz	FJVN67_R1_rmphix_fastqc
File type	Conventional base calls	FJVN67_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN67_R1_rmphix_fastqc
Total Sequences	26200984	FJVN67_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN67_R1_rmphix_fastqc
Sequence length	50-151	FJVN67_R1_rmphix_fastqc
%GC	63	FJVN67_R1_rmphix_fastqc
Filename	FJVN67_R2_rmphix.fq.gz	FJVN67_R2_rmphix_fastqc
File type	Conventional base calls	FJVN67_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN67_R2_rmphix_fastqc
Total Sequences	26200984	FJVN67_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN67_R2_rmphix_fastqc
Sequence length	50-151	FJVN67_R2_rmphix_fastqc
%GC	63	FJVN67_R2_rmphix_fastqc
Filename	FJVN68_R1_rmphix.fq.gz	FJVN68_R1_rmphix_fastqc
File type	Conventional base calls	FJVN68_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN68_R1_rmphix_fastqc
Total Sequences	26008429	FJVN68_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN68_R1_rmphix_fastqc
Sequence length	50-151	FJVN68_R1_rmphix_fastqc
%GC	64	FJVN68_R1_rmphix_fastqc
Filename	FJVN68_R2_rmphix.fq.gz	FJVN68_R2_rmphix_fastqc
File type	Conventional base calls	FJVN68_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN68_R2_rmphix_fastqc
Total Sequences	26008429	FJVN68_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN68_R2_rmphix_fastqc
Sequence length	50-151	FJVN68_R2_rmphix_fastqc
%GC	64	FJVN68_R2_rmphix_fastqc
Filename	FJVN69_R1_rmphix.fq.gz	FJVN69_R1_rmphix_fastqc
File type	Conventional base calls	FJVN69_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN69_R1_rmphix_fastqc
Total Sequences	25338270	FJVN69_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN69_R1_rmphix_fastqc
Sequence length	50-151	FJVN69_R1_rmphix_fastqc
%GC	64	FJVN69_R1_rmphix_fastqc
Filename	FJVN69_R2_rmphix.fq.gz	FJVN69_R2_rmphix_fastqc
File type	Conventional base calls	FJVN69_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN69_R2_rmphix_fastqc
Total Sequences	25338270	FJVN69_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN69_R2_rmphix_fastqc
Sequence length	50-151	FJVN69_R2_rmphix_fastqc
%GC	64	FJVN69_R2_rmphix_fastqc
Filename	FJVN70_R1_rmphix.fq.gz	FJVN70_R1_rmphix_fastqc
File type	Conventional base calls	FJVN70_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN70_R1_rmphix_fastqc
Total Sequences	25788293	FJVN70_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN70_R1_rmphix_fastqc
Sequence length	50-151	FJVN70_R1_rmphix_fastqc
%GC	64	FJVN70_R1_rmphix_fastqc
Filename	FJVN70_R2_rmphix.fq.gz	FJVN70_R2_rmphix_fastqc
File type	Conventional base calls	FJVN70_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN70_R2_rmphix_fastqc
Total Sequences	25788293	FJVN70_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN70_R2_rmphix_fastqc
Sequence length	50-151	FJVN70_R2_rmphix_fastqc
%GC	64	FJVN70_R2_rmphix_fastqc
Filename	FJVN81_R1_rmphix.fq.gz	FJVN81_R1_rmphix_fastqc
File type	Conventional base calls	FJVN81_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN81_R1_rmphix_fastqc
Total Sequences	26719186	FJVN81_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN81_R1_rmphix_fastqc
Sequence length	50-151	FJVN81_R1_rmphix_fastqc
%GC	63	FJVN81_R1_rmphix_fastqc
Filename	FJVN81_R2_rmphix.fq.gz	FJVN81_R2_rmphix_fastqc
File type	Conventional base calls	FJVN81_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN81_R2_rmphix_fastqc
Total Sequences	26719186	FJVN81_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN81_R2_rmphix_fastqc
Sequence length	50-151	FJVN81_R2_rmphix_fastqc
%GC	63	FJVN81_R2_rmphix_fastqc
Filename	FJVN82_R1_rmphix.fq.gz	FJVN82_R1_rmphix_fastqc
File type	Conventional base calls	FJVN82_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN82_R1_rmphix_fastqc
Total Sequences	37204169	FJVN82_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN82_R1_rmphix_fastqc
Sequence length	50-151	FJVN82_R1_rmphix_fastqc
%GC	63	FJVN82_R1_rmphix_fastqc
Filename	FJVN82_R2_rmphix.fq.gz	FJVN82_R2_rmphix_fastqc
File type	Conventional base calls	FJVN82_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN82_R2_rmphix_fastqc
Total Sequences	37204169	FJVN82_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN82_R2_rmphix_fastqc
Sequence length	50-151	FJVN82_R2_rmphix_fastqc
%GC	63	FJVN82_R2_rmphix_fastqc
Filename	FJVN83_R1_rmphix.fq.gz	FJVN83_R1_rmphix_fastqc
File type	Conventional base calls	FJVN83_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN83_R1_rmphix_fastqc
Total Sequences	25556705	FJVN83_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN83_R1_rmphix_fastqc
Sequence length	50-151	FJVN83_R1_rmphix_fastqc
%GC	63	FJVN83_R1_rmphix_fastqc
Filename	FJVN83_R2_rmphix.fq.gz	FJVN83_R2_rmphix_fastqc
File type	Conventional base calls	FJVN83_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN83_R2_rmphix_fastqc
Total Sequences	25556705	FJVN83_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN83_R2_rmphix_fastqc
Sequence length	50-151	FJVN83_R2_rmphix_fastqc
%GC	63	FJVN83_R2_rmphix_fastqc
Filename	FJVN84_R1_rmphix.fq.gz	FJVN84_R1_rmphix_fastqc
File type	Conventional base calls	FJVN84_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN84_R1_rmphix_fastqc
Total Sequences	24107524	FJVN84_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN84_R1_rmphix_fastqc
Sequence length	50-151	FJVN84_R1_rmphix_fastqc
%GC	63	FJVN84_R1_rmphix_fastqc
Filename	FJVN84_R2_rmphix.fq.gz	FJVN84_R2_rmphix_fastqc
File type	Conventional base calls	FJVN84_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN84_R2_rmphix_fastqc
Total Sequences	24107524	FJVN84_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN84_R2_rmphix_fastqc
Sequence length	50-151	FJVN84_R2_rmphix_fastqc
%GC	64	FJVN84_R2_rmphix_fastqc
Filename	FJVN85_R1_rmphix.fq.gz	FJVN85_R1_rmphix_fastqc
File type	Conventional base calls	FJVN85_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN85_R1_rmphix_fastqc
Total Sequences	25903510	FJVN85_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN85_R1_rmphix_fastqc
Sequence length	50-151	FJVN85_R1_rmphix_fastqc
%GC	63	FJVN85_R1_rmphix_fastqc
Filename	FJVN85_R2_rmphix.fq.gz	FJVN85_R2_rmphix_fastqc
File type	Conventional base calls	FJVN85_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN85_R2_rmphix_fastqc
Total Sequences	25903510	FJVN85_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN85_R2_rmphix_fastqc
Sequence length	50-151	FJVN85_R2_rmphix_fastqc
%GC	63	FJVN85_R2_rmphix_fastqc
Filename	FJVN86_R1_rmphix.fq.gz	FJVN86_R1_rmphix_fastqc
File type	Conventional base calls	FJVN86_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN86_R1_rmphix_fastqc
Total Sequences	27308841	FJVN86_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN86_R1_rmphix_fastqc
Sequence length	50-151	FJVN86_R1_rmphix_fastqc
%GC	63	FJVN86_R1_rmphix_fastqc
Filename	FJVN86_R2_rmphix.fq.gz	FJVN86_R2_rmphix_fastqc
File type	Conventional base calls	FJVN86_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN86_R2_rmphix_fastqc
Total Sequences	27308841	FJVN86_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN86_R2_rmphix_fastqc
Sequence length	50-151	FJVN86_R2_rmphix_fastqc
%GC	63	FJVN86_R2_rmphix_fastqc
Filename	FJVN87_R1_rmphix.fq.gz	FJVN87_R1_rmphix_fastqc
File type	Conventional base calls	FJVN87_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN87_R1_rmphix_fastqc
Total Sequences	26548321	FJVN87_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN87_R1_rmphix_fastqc
Sequence length	50-151	FJVN87_R1_rmphix_fastqc
%GC	64	FJVN87_R1_rmphix_fastqc
Filename	FJVN87_R2_rmphix.fq.gz	FJVN87_R2_rmphix_fastqc
File type	Conventional base calls	FJVN87_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN87_R2_rmphix_fastqc
Total Sequences	26548321	FJVN87_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN87_R2_rmphix_fastqc
Sequence length	50-151	FJVN87_R2_rmphix_fastqc
%GC	64	FJVN87_R2_rmphix_fastqc
Filename	FJVN88_R1_rmphix.fq.gz	FJVN88_R1_rmphix_fastqc
File type	Conventional base calls	FJVN88_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN88_R1_rmphix_fastqc
Total Sequences	27464454	FJVN88_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN88_R1_rmphix_fastqc
Sequence length	50-151	FJVN88_R1_rmphix_fastqc
%GC	63	FJVN88_R1_rmphix_fastqc
Filename	FJVN88_R2_rmphix.fq.gz	FJVN88_R2_rmphix_fastqc
File type	Conventional base calls	FJVN88_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN88_R2_rmphix_fastqc
Total Sequences	27464454	FJVN88_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN88_R2_rmphix_fastqc
Sequence length	50-151	FJVN88_R2_rmphix_fastqc
%GC	63	FJVN88_R2_rmphix_fastqc
Filename	FJVN97_R1_rmphix.fq.gz	FJVN97_R1_rmphix_fastqc
File type	Conventional base calls	FJVN97_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN97_R1_rmphix_fastqc
Total Sequences	26315223	FJVN97_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN97_R1_rmphix_fastqc
Sequence length	50-151	FJVN97_R1_rmphix_fastqc
%GC	63	FJVN97_R1_rmphix_fastqc
Filename	FJVN97_R2_rmphix.fq.gz	FJVN97_R2_rmphix_fastqc
File type	Conventional base calls	FJVN97_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN97_R2_rmphix_fastqc
Total Sequences	26315223	FJVN97_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN97_R2_rmphix_fastqc
Sequence length	50-151	FJVN97_R2_rmphix_fastqc
%GC	63	FJVN97_R2_rmphix_fastqc
Filename	FJVN98_R1_rmphix.fq.gz	FJVN98_R1_rmphix_fastqc
File type	Conventional base calls	FJVN98_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN98_R1_rmphix_fastqc
Total Sequences	28528030	FJVN98_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN98_R1_rmphix_fastqc
Sequence length	50-151	FJVN98_R1_rmphix_fastqc
%GC	63	FJVN98_R1_rmphix_fastqc
Filename	FJVN98_R2_rmphix.fq.gz	FJVN98_R2_rmphix_fastqc
File type	Conventional base calls	FJVN98_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN98_R2_rmphix_fastqc
Total Sequences	28528030	FJVN98_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN98_R2_rmphix_fastqc
Sequence length	50-151	FJVN98_R2_rmphix_fastqc
%GC	63	FJVN98_R2_rmphix_fastqc
Filename	FJVN99_R1_rmphix.fq.gz	FJVN99_R1_rmphix_fastqc
File type	Conventional base calls	FJVN99_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN99_R1_rmphix_fastqc
Total Sequences	25565346	FJVN99_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN99_R1_rmphix_fastqc
Sequence length	50-151	FJVN99_R1_rmphix_fastqc
%GC	62	FJVN99_R1_rmphix_fastqc
Filename	FJVN99_R2_rmphix.fq.gz	FJVN99_R2_rmphix_fastqc
File type	Conventional base calls	FJVN99_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN99_R2_rmphix_fastqc
Total Sequences	25565346	FJVN99_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN99_R2_rmphix_fastqc
Sequence length	50-151	FJVN99_R2_rmphix_fastqc
%GC	63	FJVN99_R2_rmphix_fastqc
Filename	JTSVD01_R1_rmphix.fq.gz	JTSVD01_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD01_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD01_R1_rmphix_fastqc
Total Sequences	30298218	JTSVD01_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD01_R1_rmphix_fastqc
Sequence length	50-151	JTSVD01_R1_rmphix_fastqc
%GC	58	JTSVD01_R1_rmphix_fastqc
Filename	JTSVD01_R2_rmphix.fq.gz	JTSVD01_R2_rmphix_fastqc
File type	Conventional base calls	JTSVD01_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD01_R2_rmphix_fastqc
Total Sequences	30298218	JTSVD01_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD01_R2_rmphix_fastqc
Sequence length	50-151	JTSVD01_R2_rmphix_fastqc
%GC	58	JTSVD01_R2_rmphix_fastqc
Filename	JTSVD02_R1_rmphix.fq.gz	JTSVD02_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD02_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD02_R1_rmphix_fastqc
Total Sequences	31021076	JTSVD02_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD02_R1_rmphix_fastqc
Sequence length	50-151	JTSVD02_R1_rmphix_fastqc
%GC	57	JTSVD02_R1_rmphix_fastqc
Filename	JTSVD02_R2_rmphix.fq.gz	JTSVD02_R2_rmphix_fastqc
File type	Conventional base calls	JTSVD02_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD02_R2_rmphix_fastqc
Total Sequences	31021076	JTSVD02_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD02_R2_rmphix_fastqc
Sequence length	50-151	JTSVD02_R2_rmphix_fastqc
%GC	57	JTSVD02_R2_rmphix_fastqc
Filename	JTSVD03_R1_rmphix.fq.gz	JTSVD03_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD03_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD03_R1_rmphix_fastqc
Total Sequences	30626453	JTSVD03_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD03_R1_rmphix_fastqc
Sequence length	50-151	JTSVD03_R1_rmphix_fastqc
%GC	56	JTSVD03_R1_rmphix_fastqc
Filename	JTSVD03_R2_rmphix.fq.gz	JTSVD03_R2_rmphix_fastqc
File type	Conventional base calls	JTSVD03_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD03_R2_rmphix_fastqc
Total Sequences	30626453	JTSVD03_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD03_R2_rmphix_fastqc
Sequence length	50-151	JTSVD03_R2_rmphix_fastqc
%GC	56	JTSVD03_R2_rmphix_fastqc
Filename	JTSVD04_R1_rmphix.fq.gz	JTSVD04_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD04_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD04_R1_rmphix_fastqc
Total Sequences	30923749	JTSVD04_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD04_R1_rmphix_fastqc
Sequence length	50-151	JTSVD04_R1_rmphix_fastqc
%GC	57	JTSVD04_R1_rmphix_fastqc
Filename	JTSVD04_R2_rmphix.fq.gz	JTSVD04_R2_rmphix_fastqc
File type	Conventional base calls	JTSVD04_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD04_R2_rmphix_fastqc
Total Sequences	30923749	JTSVD04_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD04_R2_rmphix_fastqc
Sequence length	50-151	JTSVD04_R2_rmphix_fastqc
%GC	57	JTSVD04_R2_rmphix_fastqc
Filename	JTSVD05_R1_rmphix.fq.gz	JTSVD05_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD05_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD05_R1_rmphix_fastqc
Total Sequences	29054135	JTSVD05_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD05_R1_rmphix_fastqc
Sequence length	50-151	JTSVD05_R1_rmphix_fastqc
%GC	57	JTSVD05_R1_rmphix_fastqc
Filename	JTSVD05_R2_rmphix.fq.gz	JTSVD05_R2_rmphix_fastqc
File type	Conventional base calls	JTSVD05_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD05_R2_rmphix_fastqc
Total Sequences	29054135	JTSVD05_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD05_R2_rmphix_fastqc
Sequence length	50-151	JTSVD05_R2_rmphix_fastqc
%GC	57	JTSVD05_R2_rmphix_fastqc
Filename	JTSVD06_R1_rmphix.fq.gz	JTSVD06_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD06_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD06_R1_rmphix_fastqc
Total Sequences	31276867	JTSVD06_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD06_R1_rmphix_fastqc
Sequence length	50-151	JTSVD06_R1_rmphix_fastqc
%GC	57	JTSVD06_R1_rmphix_fastqc
Filename	JTSVD06_R2_rmphix.fq.gz	JTSVD06_R2_rmphix_fastqc
File type	Conventional base calls	JTSVD06_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD06_R2_rmphix_fastqc
Total Sequences	31276867	JTSVD06_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JTSVD06_R2_rmphix_fastqc
Sequence length	50-151	JTSVD06_R2_rmphix_fastqc
%GC	57	JTSVD06_R2_rmphix_fastqc
Filename	JTSVD07_R1_rmphix.fq.gz	JTSVD07_R1_rmphix_fastqc
File type	Conventional base calls	JTSVD07_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JTSVD07_R1_rmphix_fastqc
