SampleID	DNAID	Profile	Description	fwd1	rvs1	fwd2	rvs2	fwd3	rvs3	fwd4	rvs4	fwd5	rvs5	fwd6	rvs6
JTS11	JTSVD11	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD11_S67_L003_R1_001.fastq.gz	JTSVD11_S67_L003_R2_001.fastq.gz	JTSVD11_S37_L002_R1_001.fastq.gz	JTSVD11_S37_L002_R2_001.fastq.gz								
JTS12	JTSVD12	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD12_S68_L003_R1_001.fastq.gz	JTSVD12_S68_L003_R2_001.fastq.gz	JTSVD12_S38_L002_R1_001.fastq.gz	JTSVD12_S38_L002_R2_001.fastq.gz								
JTS13	JTSVD13	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD13_S69_L003_R1_001.fastq.gz	JTSVD13_S69_L003_R2_001.fastq.gz										
JTS14	JTSVD14	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD14_S70_L003_R1_001.fastq.gz	JTSVD14_S70_L003_R2_001.fastq.gz	JTSVD14_S39_L002_R1_001.fastq.gz	JTSVD14_S39_L002_R2_001.fastq.gz								
JTS15	JTSVD15	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD15_S71_L003_R1_001.fastq.gz	JTSVD15_S71_L003_R2_001.fastq.gz	JTSVD15_S40_L002_R1_001.fastq.gz	JTSVD15_S40_L002_R2_001.fastq.gz								
JTS16	JTSVD16	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD16_S72_L003_R1_001.fastq.gz	JTSVD16_S72_L003_R2_001.fastq.gz										
JTS17	JTSVD17	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD17_S73_L003_R1_001.fastq.gz	JTSVD17_S73_L003_R2_001.fastq.gz	JTSVD17_S41_L002_R1_001.fastq.gz	JTSVD17_S41_L002_R2_001.fastq.gz								
JTS18	JTSVD18	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD18_S74_L003_R1_001.fastq.gz	JTSVD18_S74_L003_R2_001.fastq.gz	JTSVD18_S42_L002_R1_001.fastq.gz	JTSVD18_S42_L002_R2_001.fastq.gz								
JTS19	JTSVD19	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD19_S75_L003_R1_001.fastq.gz	JTSVD19_S75_L003_R2_001.fastq.gz	JTSVD19_S43_L002_R1_001.fastq.gz	JTSVD19_S43_L002_R2_001.fastq.gz								
JTS20	JTSVD20	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD20_S76_L003_R1_001.fastq.gz	JTSVD20_S76_L003_R2_001.fastq.gz	JTSVD20_S44_L002_R1_001.fastq.gz	JTSVD20_S44_L002_R2_001.fastq.gz								
JTS21	JTSVD21	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD21_S77_L003_R1_001.fastq.gz	JTSVD21_S77_L003_R2_001.fastq.gz	JTSVD21_S45_L002_R1_001.fastq.gz	JTSVD21_S45_L002_R2_001.fastq.gz								
JTS22	JTSVD22	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD22_S78_L003_R1_001.fastq.gz	JTSVD22_S78_L003_R2_001.fastq.gz	JTSVD22_S46_L002_R1_001.fastq.gz	JTSVD22_S46_L002_R2_001.fastq.gz								
JTS23	JTSVD23	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD23_S79_L003_R1_001.fastq.gz	JTSVD23_S79_L003_R2_001.fastq.gz	JTSVD23_S47_L002_R1_001.fastq.gz	JTSVD23_S47_L002_R2_001.fastq.gz								
JTS24	JTSVD24	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD24_S80_L003_R1_001.fastq.gz	JTSVD24_S80_L003_R2_001.fastq.gz	JTSVD24_S48_L002_R1_001.fastq.gz	JTSVD24_S48_L002_R2_001.fastq.gz								
JEP100	JVD100	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD100_S102_L002_R1_001.fastq.gz	JVD100_S102_L002_R2_001.fastq.gz	JVD100_S166_L004_R1_001.fastq.gz	JVD100_S166_L004_R2_001.fastq.gz	JVD100_S73_L003_R1_001.fastq.gz	JVD100_S73_L003_R2_001.fastq.gz	JVD100_S73_L002_R1_001.fastq.gz	JVD100_S73_L002_R2_001.fastq.gz	JVD100_S73_L001_R1_001.fastq.gz	JVD100_S73_L001_R2_001.fastq.gz		
JEP101	JVD101	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD101_S103_L002_R1_001.fastq.gz	JVD101_S103_L002_R2_001.fastq.gz	JVD101_S167_L004_R1_001.fastq.gz	JVD101_S167_L004_R2_001.fastq.gz	JVD101_S74_L003_R1_001.fastq.gz	JVD101_S74_L003_R2_001.fastq.gz	JVD101_S74_L002_R1_001.fastq.gz	JVD101_S74_L002_R2_001.fastq.gz	JVD101_S74_L001_R1_001.fastq.gz	JVD101_S74_L001_R2_001.fastq.gz	JVD101_S349_L001_R1_001.fastq.gz	JVD101_S349_L001_R2_001.fastq.gz
JEP102	JVD102	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD102_S104_L002_R1_001.fastq.gz	JVD102_S104_L002_R2_001.fastq.gz	JVD102_S168_L004_R1_001.fastq.gz	JVD102_S168_L004_R2_001.fastq.gz	JVD102_S75_L003_R1_001.fastq.gz	JVD102_S75_L003_R2_001.fastq.gz	JVD102_S75_L002_R1_001.fastq.gz	JVD102_S75_L002_R2_001.fastq.gz	JVD102_S75_L001_R1_001.fastq.gz	JVD102_S75_L001_R2_001.fastq.gz		
JEP103	JVD103	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD103_S105_L002_R1_001.fastq.gz	JVD103_S105_L002_R2_001.fastq.gz	JVD103_S169_L004_R1_001.fastq.gz	JVD103_S169_L004_R2_001.fastq.gz	JVD103_S76_L003_R1_001.fastq.gz	JVD103_S76_L003_R2_001.fastq.gz	JVD103_S76_L002_R1_001.fastq.gz	JVD103_S76_L002_R2_001.fastq.gz	JVD103_S76_L001_R1_001.fastq.gz	JVD103_S76_L001_R2_001.fastq.gz		
JEP104	JVD104	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD104_S106_L002_R1_001.fastq.gz	JVD104_S106_L002_R2_001.fastq.gz	JVD104_S170_L004_R1_001.fastq.gz	JVD104_S170_L004_R2_001.fastq.gz	JVD104_S77_L003_R1_001.fastq.gz	JVD104_S77_L003_R2_001.fastq.gz	JVD104_S77_L002_R1_001.fastq.gz	JVD104_S77_L002_R2_001.fastq.gz	JVD104_S77_L001_R1_001.fastq.gz	JVD104_S77_L001_R2_001.fastq.gz		
JEP105	JVD105	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD105_S107_L002_R1_001.fastq.gz	JVD105_S107_L002_R2_001.fastq.gz	JVD105_S171_L004_R1_001.fastq.gz	JVD105_S171_L004_R2_001.fastq.gz	JVD105_S78_L003_R1_001.fastq.gz	JVD105_S78_L003_R2_001.fastq.gz	JVD105_S78_L002_R1_001.fastq.gz	JVD105_S78_L002_R2_001.fastq.gz	JVD105_S78_L001_R1_001.fastq.gz	JVD105_S78_L001_R2_001.fastq.gz		
JEP106	JVD106	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD106_S108_L002_R1_001.fastq.gz	JVD106_S108_L002_R2_001.fastq.gz	JVD106_S172_L004_R1_001.fastq.gz	JVD106_S172_L004_R2_001.fastq.gz	JVD106_S79_L003_R1_001.fastq.gz	JVD106_S79_L003_R2_001.fastq.gz	JVD106_S79_L002_R1_001.fastq.gz	JVD106_S79_L002_R2_001.fastq.gz	JVD106_S79_L001_R1_001.fastq.gz	JVD106_S79_L001_R2_001.fastq.gz		
JEP107	JVD107	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD107_S109_L002_R1_001.fastq.gz	JVD107_S109_L002_R2_001.fastq.gz	JVD107_S173_L004_R1_001.fastq.gz	JVD107_S173_L004_R2_001.fastq.gz	JVD107_S80_L003_R1_001.fastq.gz	JVD107_S80_L003_R2_001.fastq.gz	JVD107_S80_L002_R1_001.fastq.gz	JVD107_S80_L002_R2_001.fastq.gz	JVD107_S80_L001_R1_001.fastq.gz	JVD107_S80_L001_R2_001.fastq.gz		
JEP108	JVD108	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD108_S110_L002_R1_001.fastq.gz	JVD108_S110_L002_R2_001.fastq.gz	JVD108_S174_L004_R1_001.fastq.gz	JVD108_S174_L004_R2_001.fastq.gz	JVD108_S81_L003_R1_001.fastq.gz	JVD108_S81_L003_R2_001.fastq.gz	JVD108_S81_L002_R1_001.fastq.gz	JVD108_S81_L002_R2_001.fastq.gz	JVD108_S81_L001_R1_001.fastq.gz	JVD108_S81_L001_R2_001.fastq.gz		
JEP109	JVD109	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD109_S111_L002_R1_001.fastq.gz	JVD109_S111_L002_R2_001.fastq.gz	JVD109_S175_L004_R1_001.fastq.gz	JVD109_S175_L004_R2_001.fastq.gz	JVD109_S82_L003_R1_001.fastq.gz	JVD109_S82_L003_R2_001.fastq.gz	JVD109_S82_L002_R1_001.fastq.gz	JVD109_S82_L002_R2_001.fastq.gz	JVD109_S82_L001_R1_001.fastq.gz	JVD109_S82_L001_R2_001.fastq.gz	JVD109_S327_L001_R1_001.fastq.gz	JVD109_S327_L001_R2_001.fastq.gz
JEP110	JVD110	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD110_S112_L002_R1_001.fastq.gz	JVD110_S112_L002_R2_001.fastq.gz	JVD110_S176_L004_R1_001.fastq.gz	JVD110_S176_L004_R2_001.fastq.gz	JVD110_S83_L003_R1_001.fastq.gz	JVD110_S83_L003_R2_001.fastq.gz	JVD110_S83_L002_R1_001.fastq.gz	JVD110_S83_L002_R2_001.fastq.gz	JVD110_S83_L001_R1_001.fastq.gz	JVD110_S83_L001_R2_001.fastq.gz		
JEP111	JVD111	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD111_S113_L002_R1_001.fastq.gz	JVD111_S113_L002_R2_001.fastq.gz	JVD111_S177_L004_R1_001.fastq.gz	JVD111_S177_L004_R2_001.fastq.gz	JVD111_S84_L003_R1_001.fastq.gz	JVD111_S84_L003_R2_001.fastq.gz	JVD111_S84_L002_R1_001.fastq.gz	JVD111_S84_L002_R2_001.fastq.gz	JVD111_S84_L001_R1_001.fastq.gz	JVD111_S84_L001_R2_001.fastq.gz	JVD111_S350_L001_R1_001.fastq.gz	JVD111_S350_L001_R2_001.fastq.gz
JEP112	JVD112	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD112_S114_L002_R1_001.fastq.gz	JVD112_S114_L002_R2_001.fastq.gz	JVD112_S178_L004_R1_001.fastq.gz	JVD112_S178_L004_R2_001.fastq.gz	JVD112_S85_L003_R1_001.fastq.gz	JVD112_S85_L003_R2_001.fastq.gz	JVD112_S85_L002_R1_001.fastq.gz	JVD112_S85_L002_R2_001.fastq.gz	JVD112_S85_L001_R1_001.fastq.gz	JVD112_S85_L001_R2_001.fastq.gz		
JEP113	JVD113	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD113_S115_L002_R1_001.fastq.gz	JVD113_S115_L002_R2_001.fastq.gz	JVD113_S179_L004_R1_001.fastq.gz	JVD113_S179_L004_R2_001.fastq.gz	JVD113_S86_L003_R1_001.fastq.gz	JVD113_S86_L003_R2_001.fastq.gz	JVD113_S86_L002_R1_001.fastq.gz	JVD113_S86_L002_R2_001.fastq.gz	JVD113_S86_L001_R1_001.fastq.gz	JVD113_S86_L001_R2_001.fastq.gz		
JEP114	JVD114	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD114_S116_L002_R1_001.fastq.gz	JVD114_S116_L002_R2_001.fastq.gz	JVD114_S180_L004_R1_001.fastq.gz	JVD114_S180_L004_R2_001.fastq.gz	JVD114_S87_L003_R1_001.fastq.gz	JVD114_S87_L003_R2_001.fastq.gz	JVD114_S87_L002_R1_001.fastq.gz	JVD114_S87_L002_R2_001.fastq.gz	JVD114_S87_L001_R1_001.fastq.gz	JVD114_S87_L001_R2_001.fastq.gz		
JEP115	JVD115	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD115_S117_L002_R1_001.fastq.gz	JVD115_S117_L002_R2_001.fastq.gz	JVD115_S181_L004_R1_001.fastq.gz	JVD115_S181_L004_R2_001.fastq.gz	JVD115_S88_L003_R1_001.fastq.gz	JVD115_S88_L003_R2_001.fastq.gz	JVD115_S88_L002_R1_001.fastq.gz	JVD115_S88_L002_R2_001.fastq.gz	JVD115_S88_L001_R1_001.fastq.gz	JVD115_S88_L001_R2_001.fastq.gz		
JEP116	JVD116	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD116_S118_L002_R1_001.fastq.gz	JVD116_S118_L002_R2_001.fastq.gz	JVD116_S182_L004_R1_001.fastq.gz	JVD116_S182_L004_R2_001.fastq.gz	JVD116_S89_L003_R1_001.fastq.gz	JVD116_S89_L003_R2_001.fastq.gz	JVD116_S89_L002_R1_001.fastq.gz	JVD116_S89_L002_R2_001.fastq.gz	JVD116_S89_L001_R1_001.fastq.gz	JVD116_S89_L001_R2_001.fastq.gz		
JEP117	JVD117	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD117_S119_L002_R1_001.fastq.gz	JVD117_S119_L002_R2_001.fastq.gz	JVD117_S183_L004_R1_001.fastq.gz	JVD117_S183_L004_R2_001.fastq.gz	JVD117_S90_L003_R1_001.fastq.gz	JVD117_S90_L003_R2_001.fastq.gz	JVD117_S90_L002_R1_001.fastq.gz	JVD117_S90_L002_R2_001.fastq.gz	JVD117_S90_L001_R1_001.fastq.gz	JVD117_S90_L001_R2_001.fastq.gz		
JEP119	JVD119	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD119_S120_L002_R1_001.fastq.gz	JVD119_S120_L002_R2_001.fastq.gz	JVD119_S184_L004_R1_001.fastq.gz	JVD119_S184_L004_R2_001.fastq.gz	JVD119_S91_L003_R1_001.fastq.gz	JVD119_S91_L003_R2_001.fastq.gz	JVD119_S91_L002_R1_001.fastq.gz	JVD119_S91_L002_R2_001.fastq.gz	JVD119_S91_L001_R1_001.fastq.gz	JVD119_S91_L001_R2_001.fastq.gz		
JEP121	JVD121	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD121_S121_L002_R1_001.fastq.gz	JVD121_S121_L002_R2_001.fastq.gz	JVD121_S185_L004_R1_001.fastq.gz	JVD121_S185_L004_R2_001.fastq.gz	JVD121_S92_L003_R1_001.fastq.gz	JVD121_S92_L003_R2_001.fastq.gz	JVD121_S92_L002_R1_001.fastq.gz	JVD121_S92_L002_R2_001.fastq.gz	JVD121_S92_L001_R1_001.fastq.gz	JVD121_S92_L001_R2_001.fastq.gz		
